hole_id,east,north,elevation,from,to,final_depth,sample_length,dip_direction,dip,cu_perc,lithology,hole_radius
DH-112,7936.57831451,243695.54520079,791.27644766,73.5,78.5,174.2,5,159.98104794,52.92838935,1.04,MzP,1
DH-112,7937.62135068,243692.7010773,787.2962761,78.5,83.5,174.2,5,159.74069842,52.52121909,0.92,MzP,1
DH-112,7938.68517095,243689.83526031,783.33796929,83.5,88.5,174.2,5,159.52935228,52.12268,0.8,MzP,1
DH-112,7939.76883293,243686.94839152,779.40207918,88.5,93.5,174.2,5,159.32166461,51.72359572,0.66,MzP,1
DH-112,7940.87236369,243684.04039583,775.4884986,93.5,98.5,174.2,5,159.11755731,51.32404162,0.69,MzP,1
DH-112,7943.1966564,243678.01308884,767.53553867,103.75,108.75,174.2,5,158.70997706,50.50373345,0.57,MzP,1
DH-112,7944.33166146,243675.11445474,763.78452405,108.75,113.5,174.2,4.75,158.51870281,50.10816387,0.41,MzP,1
DH-112,7946.59213503,243669.42253613,756.55460991,118.1,123.1,174.2,5,158.16260709,49.3530747,0.93,MzP,1
DH-112,7947.81306692,243666.38898882,752.77072409,123.1,128.1,174.2,5,157.99081562,48.97989821,1.23,MzP,1
DH-112,7949.04265353,243663.34635767,748.99690947,128.1,133.1,174.2,5,158.00000116,49.00000084,1.43,MzP,1
DH-112,7952.63080848,243654.46536252,737.9781496,142.7,147.7,174.2,5,158.00000116,49.00000084,0.82,MzP,1
DH-112,7953.65687334,243651.92576288,734.8272371,147.7,151.05,174.2,3.35,158.00000115,49.00000084,0.81,MzP,1
DH-113,7958.07600872,243665.53913777,822.24723226,21.75,26.75,181.1,5,151.02625254,55.14993201,0.4,TnP,1
DH-113,7959.47985279,243663.02810634,818.15550824,26.75,31.75,181.1,5,150.56038471,54.62916761,0.54,TnP,1
